"Ward No","Ward Name","Sub Division","Division","Assembly Constituency","Zone Name","Park Name","Latitude ","Longitude","Square Meter","","","","","","","","",""
"2","Chowdeswari Ward","Yelahanka","Yelahanka","Yelahanka","Yelahanka","Puttenahalli park","13.110557","77.580365","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","SFS 208 Opp to Mother Dairy and 1st Main Park P 208 1 Park","13.099303","77.574431","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","SFS 208 Opp to Mother dairy 2nd Main P 208 2 Park No 2","13.099846","77.575161","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","SFS 407 1st and 3rd e 208 Main Park P 407 3","13.102118","77.573854","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","SFS 208 1st Main and 2nd Main Behind to House No 1  P 208 5","13.099616","77.572693","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","SFS 208 1st Main and 2nd Main  P 208 6","13.099512","77.571792","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","SFS 208 2nd Main and 4th Main  P 208 7 and 8","13.100473","77.572092","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","SFS 407 4th Main and SFS 707 Main in Yelahanka Newtown","13.101273","77.57265","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","SFS 407 4th Main P 407 1 in Yelahanka Newtown","13.103244","77.572402","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","SFS 407 2nd Cross Between Apartment in Yelahanka Newtown","13.106905","77.572304","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","4th Phase Nagarjuna Apartment Park 5  9","13.109046","77.579178","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","SFS 407 3rd A and 4th A Main in Yelahanka Newtown P 407 2","13.103175","77.57459","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","SFS 407 6th Cross Vinayaka Temple park","13.102848","77.571879","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","SFS 407 12th Main EXP 63 park in Yelahanka Newtown","13.105746","77.57104","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","Doddaballapura Double road park in Yelahanka newtown","13.102163","77.585446","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","4th Phase 3rd Cross Opp to House No 229 in Yelahanka Newtown","13.105807","77.576335","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","4th Phase 1st Cross Opp to House No 90 in Yelahanka Newtown","13.106465","77.574198","0.00","","","","","","","","",""
