wellnessCentreName,latitude,longitude
Dev Nagar (Ayurvedic),28.654448,77.184028625488
AYURVEDIC WC JUNG PURA,28.582367,77.245262145996
Tilak Nagar,28.638773,77.09846496582
Sriniwas Puri,28.564219,77.256156921387
Dr. Zakir Hussain Road,28.605564,77.234680175781
Paharganj,28.64533,77.209381103516
Rajouri Garden,28.645285,77.112274169922
Nangal Raya,28.611599,77.098762512207
M.B. Road,28.523499,77.220932006836
Palam Colony,28.590113,77.085929870605
Indirapuram,28.649866,77.339797973633
Tilak Nagar (Homeo),28.638943,77.09831237793
Hari Nagar (Homeo),28.624872,77.106414794922
HOMEOPATHIC WC SHAHDRA,28.681932,77.299354553223
HOMEOPATHIC WC PUSHP VIHAR,28.523434,77.227439880371
Shahdara Unani,28.680838,77.298797607422
P & T Wellness Centre,30.310898,78.01203918457
VIDHYADHAR NAGAR,26.966885,75.785720825195
Akurdi,18.651558,73.764999389648
Camp,18.50474,73.874458312988
Ganeshkhind Road,18.551151,73.821029663086
Bajirao Road,18.55219,73.874549865723
G.T.Road,18.515316,73.879707336426
CGO New Marine Lines,18.938894,72.827964782715
Bhandup,19.142601,72.941078186035
"Sahar, Andheri (W)",19.10255,72.859855651855
Jogeshwari,19.08297,72.857559204102
CLI Sion,19.04969,72.866775512695
Salt Lake EB,22.586054,88.407157897949
Salt Lake IC,22.571302,88.414482116699
Shyambazar,22.599861,88.373489379883
Gangtok,27.344988,88.606460571289
Hengrabari,25.665863,94.091903686523
Narengi,26.175413,91.820793151855
Charminar,17.373007,78.486175537109
Dilsukhnagar,17.363522,78.585098266602
Malakpet,17.371193,78.501121520996
Alwal,17.50906,78.506202697754
AVADI,13.1238575,80.106117248535
GOPALAPURAM,13.04461,80.261512756348
Sasthamangalam,8.533302,76.94612121582
Khapra Mohal,26.455675,80.35733795166
Raksha Vihar,26.422136,80.361404418945
Pandu Nagar,26.472935,80.29418182373
GOL Market,26.873436,80.959396362305
Kalyani Devi,25.42972,81.833854675293
New Katra,25.47363,81.853408813477
CGHS Polyclinic Sangam Place,25.450197,81.830520629883
KANTA TOLI,23.364851,85.343315124512
P and T COLONY LALPUR,23.374857,85.340263366699
KHARAVELA NAGAR,20.272116,85.835983276367
INDORE1,22.711237,75.885894775391
I.B.M. Colony,23.167952,79.910469055176
Head Post Office,23.161499,79.955154418945
Ashram Road,23.035246,72.569244384766
Pragatinagar,23.066833,72.554763793945
Meghaninagar,23.054527,72.617980957031
HOMEO ASHRAM ROAD,23.035244,72.569221496582
Wellness Center Shivajinagar,12.980318,77.603363037109
Delhi Cantt (Ayurvedic),28.589346,77.120765686035
Laxmi Nagar Ayurvedic,28.630713,77.277275085449
AYURVEDIC WC LODHI ROAD I(ALI GANJ),28.583834,77.218933105469
VIKAS PURI,28.63281,77.065147399902
Netaji Nagar,28.572374,77.186492919922
Greater Noida,28.45142,77.521240234375
KASTURBA NAGAR-I,28.577652,77.224449157715
Malviya Nagar,28.53425,77.211715698242
Kalkaji – I,28.54032,77.258293151855
Hari Nagar,28.624546,77.104423522949
Shahdara,28.681366,77.298820495605
Shakur Basti,28.689352,77.115257263184
Tri Nagar,28.67423,77.160575866699
Faridabad,28.405228,77.297737121582
Kali Bari,28.62901,77.200248718262
Vivek Vihar,28.663721,77.318252563477
Rohini-16,28.704538,77.119651794434
"Gurgaon, Sec-55",28.426765,77.11043548584
Sahibabad,28.684004,77.350128173828
Noida Sec-82,28.529837,77.391777038574
HOMEOPATHIC WC RKP-III,28.554304,77.178848266602
Timarpur Homeopathic,28.706379,77.221664428711
DR. RML HOSPITAL,28.624563,77.198722839355
Shastri Nagar,28.95477,77.732116699219
Lekha Nagar,29.01349,77.706260681152
Chaura Rasta,26.918316,75.821136474609
Jyoti Nagar,26.89531,75.795593261719
Deonar,19.045315,72.91854095459
Kandivali,19.215654,72.823104858398
Seepz,19.128706,72.875511169434
Nepean Sea Road,18.956367,72.800346374512
Belvedere,22.52668,88.346549987793
Airport,22.63621,88.426300048828
Lake Area,22.514097,88.358222961426
Narkeldanga,22.573692,88.39266204834
Beharbari,26.115187,91.772834777832
Imphal,24.797945,93.951591491699
Humayunnagar,17.38202,78.439331054688
Secunderabad,17.423944,78.493865966797
Begumpet,17.445042,78.472442626953
Himayatnagar,17.40563,78.477882385254
Kanchanbagh,17.337795,78.505882263184
PUDUCHERRY,11.939653,79.796195983887
MEENAMBAKKAM,12.980883,80.176445007324
Kesavadasapuram,8.533119,76.940719604492
Civil Lines,26.475863,80.34627532959
AYURVEDIC LUCKNOW,26.83356,80.947494506836
Lucknow6,26.904528,80.94458770752
Jawahar Lal Nehru Road,25.451668,81.863235473633
Leader Road,25.443272,81.83309173584
Naini,25.39662,81.869728088379
